"c..exp...names.","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68"
"exp",5,10,15,20,30,40,50,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,315,330,345,360,375,390,405,420,435,450,465,480,495,510,525,540,555,570,585,600,615,630,645,660,675,690,705,720,735,750,765,780,795,810,825,840,855,870,885,900,915,930,945,960
"Exp1a",0.79128,0.7536,0.64056,0.67824,0.6594,0.99852,0.86664,0.71592,0.74104,0.59032,0.6908,0.72848,0.26376,0.59032,0.5652,0.70336,0.45216,0.61544,0.51496,0.76616,0.61544,0.54008,0.67824,0.74104,0.65312,0.628,0.71592,0.42704,0.65312,0.6908,0.59032,0.47728,0.57776,0.60288,0.59032,0.59032,0.46472,0.54008,0.57776,0.5652,0.5652,0.48984,0.48984,0.45216,0.5652,0.64056,0.61544,0.47728,0.5024,0.61544,0.65312,0.628,0.32656,0.45216,0.45216,0.55264,0.59032,0.5024,0.5652,0.59032,0.42704,0.64056,0.5652,0.5652,0.40192,0.36424,0.54008,0.5652
"Exp1b",0.1884,0.30144,0.45216,0.41448,0.32028,0.24492,0.43332,0.43332,0.36424,0.27632,0.33912,0.33912,0.38936,0.3768,0.3768,0.27632,0.23864,0.27632,0.38936,0.314,0.35168,0.38936,0.23864,0.35168,0.314,0.314,0.35168,0.27632,0.27632,0.38936,0.40192,0.36424,0.27632,0.21352,0.22608,0.36424,0.40192,0.38936,0.32656,0.26376,0.21352,0.314,0.42704,0.30144,0.32656,0.1884,0.07536,0.28888,0.23864,0.32656,0.41448,0.30144,0.1884,0.26376,0.1884,0.26376,0.36424,0.3768,0.30144,0.22608,0.26376,0.38936,0.32656,0.30144,0.27632,0.17584,0.2512,0.23864
"Exp1c(1)",0.11304,0.03768,0.03768,0.03768,0.03768,0.01884,0.01884,0.01884,0.02512,0.05024,0.01256,0.02512,0.03768,0.0628,0.03768,0,0,0.01256,0.02512,0.01256,0,0.01256,0,0.1256,0.15072,0.08792,0.1256,0.05024,0.0628,0.10048,0.10048,0.11304,0.13816,0.13816,0.08792,0.07536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Exp1c(2)",0.22608,0.33912,0.30144,0.30144,0.35796,0.41448,0.33912,0.32028,0.22608,0.27632,0.22608,0.20096,0.22608,0.28888,0.22608,0.32656,0.35168,0.21352,0.20096,0.32656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Exp1c(3)",0.33912,0.5652,0.67824,0.67824,0.43332,0.58404,0.64056,0.73476,0.57776,0.52752,0.54008,0.55264,0.5652,0.55264,0.52752,0.5652,0.42704,0.5652,0.5024,0.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Exp1c(4)",0.64056,1.24344,1.54488,1.35648,1.26228,1.18692,1.1304,1.11156,1.11156,1.1304,1.20576,1.04248,1.10528,1.20576,1.18064,1.11784,0.97968,0.95456,1.10528,1.11784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Exp3a",0.71592,0.82896,1.01736,1.24344,1.28112,1.18692,1.28112,0.99852,0.92944,1.05504,1.49464,1.21832,1.3816,1.30624,0.89176,1.0048,0.89176,1.36904,0.6908,1.3188,1.59512,1.35648,0.89176,0.8792,0.7536,0.71592,0.89176,0.6908,0.8792,0.80384,1.54488,1.34392,1.21832,1.23088,1.1304,1.29368,1.34392,1.15552,1.08016,1.15552,1.15552,1.26856,1.05504,1.18064,1.08016,1.16808,1.29368,0.90432,1.18064,0.66568,0.95456,0.7536,0.85408,1.40672,0.91688,1.35648,1.29368,1.20576,0.89176,1.21832,0.95456,1.36904,0.89176,1.15552,1.20576,1.0676,1.1304,1.02992
"Exp3b",0.30144,0.11304,0.26376,0.22608,0.26376,0.30144,0.1884,0.3768,0.45216,0.38936,0.20096,0.48984,0.5652,0.5024,0.27632,0.41448,0.27632,0.72848,0.54008,0.51496,0.67824,0.46472,0.5024,0.55264,0.59032,0.57776,0.55264,0.57776,0.55264,0.5652,0.628,0.5652,0.5652,0.55264,0.51496,0.5024,0.60288,0.55264,0.64056,0.5652,0.5024,0.52752,0.5652,0.61544,0.64056,0.5024,0.628,0.48984,0.55264,0.59032,0.52752,0.59032,0.54008,0.55264,0.55264,0.51496,0.41448,0.40192,0.35168,0.21352,0.26376,0.36424,0.74104,0.79128,0.85408,0.628,0.47728,0.46472
"Exp3c(1)",0.03768,0.03768,0,0,0.01884,0.01884,0,0.01884,0.01256,0.01256,0.01256,0.01256,0.02512,0.02512,0.0628,0.01256,0.05024,0.11304,0.16328,0.07536,0.07536,0.17584,0.11304,0.38936,0.30144,0.23864,0.23864,0.0628,0.1884,0.27632,0.27632,0.30144,0.27632,0.23864,0.22608,0.23864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
